Leg,Round,Right Fencer,Left Fencer,Right Score,Left Score,MOV,Outcome,Scaled Outcome
20251,pool4,ONG MARIXON,ESTEPA RODGE TRIONE,5.0,4.0,1.0,1,0.6
20251,pool4,BERNAL KIETH MEANFRED,LAURON SEAN PATRICK,1.0,5.0,-4.0,0,0.09999999999999998
20251,pool4,ESTEPA RODLEY FOURTH,RODRIGUEZ VINCE BENJAMIN,2.0,5.0,-3.0,0,0.2
20251,pool5,BAUTISTA JOSE LORENZO,ARIAS CALEB LEON,5.0,3.0,2.0,1,0.7
20251,pool5,MUNOZ DEEN RAFAEL,MALINAO JOHN AGASTI,5.0,4.0,1.0,1,0.6
20251,pool5,RAMOS JOHN DEXTER,GALE VON EUBERT,4.0,3.0,1.0,1,0.625
20251,pool5,MALINAO JOHN AGASTI,BAUTISTA JOSE LORENZO,5.0,0.0,5.0,1,1.0
20251,pool5,ARIAS CALEB LEON,RAMOS JOHN DEXTER,2.0,5.0,-3.0,0,0.2
20251,pool5,GALE VON EUBERT,MUNOZ DEEN RAFAEL,4.0,3.0,1.0,1,0.625
20251,pool5,BAUTISTA JOSE LORENZO,RAMOS JOHN DEXTER,2.0,5.0,-3.0,0,0.2
20251,pool5,MALINAO JOHN AGASTI,GALE VON EUBERT,2.0,5.0,-3.0,0,0.2
20251,pool5,MUNOZ DEEN RAFAEL,ARIAS CALEB LEON,5.0,3.0,2.0,1,0.7
20251,pool5,GALE VON EUBERT,BAUTISTA JOSE LORENZO,5.0,3.0,2.0,1,0.7
20251,pool5,RAMOS JOHN DEXTER,MUNOZ DEEN RAFAEL,5.0,2.0,3.0,1,0.8
20251,pool5,ARIAS CALEB LEON,MALINAO JOHN AGASTI,4.0,5.0,-1.0,0,0.4
20251,pool5,BAUTISTA JOSE LORENZO,MUNOZ DEEN RAFAEL,3.0,5.0,-2.0,0,0.3
20251,pool5,GALE VON EUBERT,ARIAS CALEB LEON,5.0,1.0,4.0,1,0.9
