player,rating,RD,vol,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index
GONZALES TIMOTHY DALE,1667.0096972724225,64.45298306263172,0.059947534633511365,25.0,2.32,15.0,1.7333333333333334
GRAHAM CHRISTOPHER FRANCIS,1417.5517673653687,72.86472157743682,0.059955201588772246,25.0,-1.16,6.0,-3.6666666666666665
GUINTO YLLAC JAVIER,1580.1871682968685,73.2769488384874,0.05997311464916213,17.0,0.9411764705882353,11.0,0.2727272727272727
GUTIERREZ RONAN PAOLO,1249.224248143954,151.77451643788433,0.059999005854835995,5.0,-4.2,0.0,
HO CALIX ANDREAS,1632.863565696376,70.63834668720382,0.05995608629797671,23.0,2.130434782608696,11.0,1.3636363636363635
ICASIANO AURELIO,1385.4306048520968,92.71236856224075,0.059981662837087356,20.0,-1.7,1.0,-6.0
IGARES DUSTIN,1517.0100152924708,78.4338695761075,0.05997798807820814,19.0,0.10526315789473684,6.0,-1.5
JACINTO LUCAS,1466.8301927230925,115.78667589559312,0.05999198230920592,10.0,0.1,2.0,-5.0
JOSE NOELITO JR.,1814.708178538112,72.29794205145788,0.05996748962377324,20.0,3.85,20.0,7.85
LARGO ZEBASTIAN ISAIAH,1501.2013214649758,112.01937979494188,0.05998985509441996,10.0,0.4,4.0,-3.25
LAURON SEAN PATRICK,1673.898495587456,67.8159516094905,0.059957930153205205,25.0,2.44,19.0,3.6842105263157894
MALINAO JOHN AGASTI,1564.6685430489365,65.7494408307591,0.05995782907584337,24.0,0.9583333333333334,13.0,0.23076923076923078
MALVAR LORENZO MIGUEL,1564.1735048820037,78.1090914530573,0.05996748087435853,19.0,1.0,8.0,-0.75
MAMURIC II JOSE ROBERTO S.,1380.0966872988693,152.81182409584298,0.05999769986640489,5.0,-2.0,0.0,
MAMURIC JOSE ROBERTO,1292.667695708834,128.2300792300132,0.0599912881394457,10.0,-2.6,1.0,-3.0
MAMURIC JOSE SR,1273.5392932177178,148.99950636396957,0.05999866878526727,5.0,-4.2,0.0,
MARZAN PRINZ ROHAN,1404.0405527252358,155.04681223332076,0.05999757846082178,5.0,-2.0,0.0,
MASANAGA RYUICHIRO,1557.2046989070989,89.97267386404158,0.059985026498700016,15.0,0.7333333333333333,5.0,-1.6
MAYO MATT JACOB,1505.9463578758787,69.91774543590756,0.05996629448906075,24.0,0.20833333333333334,11.0,-1.0
MENDOZA JAIRUS,1446.9745456510743,73.50463511188336,0.05996829568825709,25.0,-0.64,5.0,-2.4
MIRANDA IAN HEINZ,1574.0413192210729,140.1507142079975,0.05999735834989971,5.0,0.6,1.0,-4.0
MUNOZ DEEN RAFAEL,1546.2846359474659,78.41865731984241,0.05996921958215361,19.0,0.7368421052631579,7.0,1.5714285714285714
NUNEZ RAMON ANGELO GABRIEL,1292.7659901489578,143.56104434988112,0.05999386357127924,10.0,-2.5,0.0,
OBZUNAR AURELL FLORENCE,1573.0877602000598,88.59444226516422,0.059977569059024086,14.0,1.5,7.0,2.0
